Symbol,Strategy,FinalEquity,AnnRet,AnnVol,Sharpe,MaxDD,Calmar,param_mr_window,param_vol_q,param_fee_bps
SPY,Mean Reversion,2.6141735158889086,0.06739297257498045,0.1369740864404015,0.5449705001763543,-1.7843320040106578,0.03776930101769217,20,0.7,1.0
SPY,Mean Reversion with Regime,2.1979825719083204,0.05490430534725288,0.07588421107558695,0.7423638296516941,-1.1719052751409993,0.0468504635245771,20,0.7,1.0
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,20,0.7,1.0
2330.TW,Momentum,1.7567743132713727,0.04041496862181093,0.1331595089990732,0.3639398825476993,-1.3425946063596075,0.030102138374735864,20,0.7,1.0
2330.TW,Mean Reversion,6.880595219644711,0.14523754887151163,0.17050253488488562,0.880699082178001,-4.054335878335386,0.03582277177566816,20,0.7,1.0
2330.TW,Mean Reversion with Regime,2.561850586067854,0.0683816959123027,0.11822492922182391,0.6185964851085083,-1.929238941532922,0.035444907543680626,20,0.7,1.0
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,20,0.7,2.0
SPY,Momentum,0.7771461679923278,-0.01696618423946017,0.09001846744107835,-0.14446144745355044,-1.5390435417769819,-0.011023849409660618,20,0.7,2.0
SPY,Mean Reversion,2.5084228220865628,0.0644056901097041,0.1369757103542095,0.524500437224074,-1.7675692148020814,0.03643743598290477,20,0.7,2.0
SPY,Mean Reversion with Regime,2.1266660242507243,0.05254539471587205,0.07587553829807896,0.7129306282419636,-1.1692564169860042,0.04493915445109848,20,0.7,2.0
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,20,0.7,2.0
2330.TW,Momentum,1.5322455065355438,0.030459435041078287,0.133133243266696,0.2917626365296316,-1.3450111173933508,0.022646232917471396,20,0.7,2.0
2330.TW,Mean Reversion,6.571260104055972,0.14153944095522508,0.17051163441870373,0.8616834357551891,-3.9401155000457466,0.03592266291523224,20,0.7,2.0
2330.TW,Mean Reversion with Regime,2.4673098954852586,0.06556078456851355,0.11822982007387897,0.5962097855242873,-1.9029176957552991,0.03445276940498018,20,0.7,2.0
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,20,0.8,0.5
SPY,Momentum,0.9517581916574899,-0.0033501413342850173,0.09000798468362174,0.008327993351932983,-1.5111984469617847,-0.0022168771685944803,20,0.8,0.5
SPY,Mean Reversion,2.668705014465579,0.06888964397607045,0.1369739565149217,0.555202949144001,-1.792835114253318,0.03842497473882961,20,0.8,0.5
SPY,Mean Reversion with Regime,2.4026304020523344,0.061297375406814236,0.08480118465140128,0.7439837670694225,-1.3239509110853622,0.04629882791995908,20,0.8,0.5
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,20,0.8,0.5
2330.TW,Momentum,1.8810812504681318,0.04542836934526262,0.13317431461065452,0.40001280442835524,-1.3413082859008605,0.03386870104567471,20,0.8,0.5
2330.TW,Mean Reversion,7.0406691377018795,0.14709095389348592,0.17049860501143246,0.8902044299539233,-4.113088816015447,0.03576167704445056,20,0.8,0.5
2330.TW,Mean Reversion with Regime,3.755305081328617,0.09750053943570158,0.12848825330556732,0.7883473298853648,-2.530761328350076,0.038526169316514265,20,0.8,0.5
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,20,0.8,1.0
SPY,Momentum,0.8895836377995284,-0.00790942198732203,0.09000985900875413,-0.04260654123395286,-1.521339461989862,-0.005198985620853328,20,0.8,1.0
SPY,Mean Reversion,2.6141735158889086,0.06739297257498045,0.1369740864404015,0.5449705001763543,-1.7843320040106578,0.03776930101769217,20,0.8,1.0
SPY,Mean Reversion with Regime,2.360266946824985,0.0600167794253923,0.08479556201965348,0.729786130489392,-1.3205082049363928,0.0454497588133375,20,0.8,1.0
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,20,0.8,1.0
2330.TW,Momentum,1.7567743132713727,0.04041496862181093,0.1331595089990732,0.3639398825476993,-1.3425946063596075,0.030102138374735864,20,0.8,1.0
2330.TW,Mean Reversion,6.880595219644711,0.14523754887151163,0.17050253488488562,0.880699082178001,-4.054335878335386,0.03582277177566816,20,0.8,1.0
2330.TW,Mean Reversion with Regime,3.6817148175942958,0.09597437709423473,0.12848651080156023,0.7775227398724355,-2.5060465063441955,0.038297125313225544,20,0.8,1.0
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,20,0.8,2.0
